city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Leon,Spain,Spain,Europe,2579.28,2875.26,623.465,87.81,1.98,0.47005988,0.500259,0.490791897,0.542352941,48.46891636,Low Salary–Low Cost
Norman,United States,United States,Northern America,6966,7925,1047.5,70,4.015,0.880446005,0.701113701,0.926028238,0.316898396,56.38940096,High Salary–High Cost
Savannakhet,Laos,Laos,Asia,206.42,223.54,,,,0.018583523,,,,,
Zahle,Lebanon,Lebanon,Asia,753.33,873.33,,112.5,1.625,0.168593847,,0.396869245,0.799037433,,
Gorzow Wielkopolski,Poland,Poland,Europe,1496.57,1736.84,478.925,67.61,1.35,0.333987198,0.402745403,0.268876611,0.287700535,49.81468993,High Cost–Low Salary
Boulder,United States,United States,Northern America,6966,7925,2808.335,151.71,3.7,0.880446005,0.977466977,0.881317782,0.952941176,47.19456427,High Salary–Moderate Cost
Wolfsburg,Germany,Germany,Europe,3731.5,4048.63,629.61,85.8,2.11,0.603964485,0.504273504,0.529772867,0.516042781,54.41571539,Low Salary–Low Cost
Pervouralsk,Russia,Russia,Europe,975.51,1065.68,228,132.8,1.395,0.211232707,0.188293188,0.289543687,0.911657754,45.50514313,Low Salary–Low Cost
Gyumri,Armenia,Armenia,Asia,1700.25,1974.32,307.42,80.01,1.17,0.377555234,0.262367262,0.175977082,0.442566845,56.58620429,High Cost–Low Salary
New Mirpur,Pakistan,Pakistan,Asia,245.34,284.9,67.05,22.35,0.72,0.026429899,0.011914012,0.025475752,0.013262032,50.44781944,High Cost–Low Salary
San Pedro Garza Garcia,Mexico,Mexico,Central America,1681.97,1917.34,1302.115,86.38,1.96,0.367953748,0.795907796,0.48731328,0.523529412,36.13607982,Low Salary–Low Cost
Bergamo,Italy,Italy,Europe,3467.23,3868.92,777.135,124.11,2.14,0.533037374,0.584693085,0.543789646,0.872406417,46.79671655,Low Salary–Low Cost
Algeciras,Spain,Spain,Europe,2579.28,2875.26,526.875,83.95,1.305,0.47005988,0.441983942,0.247288725,0.482780749,55.09371722,High Cost–Low Salary
Baia Mare,Romania,Romania,Europe,1739.87,1921.11,243.02,77.6,1.1,0.385091885,0.204092204,0.137712298,0.406417112,59.36595764,High Cost–Low Salary
Rudnyy,Kazakhstan,Kazakhstan,Asia,701,813.99,,,0.53,0.14691307,,0.004297115,,,
Maastricht,Netherlands,Netherlands,Europe,4756.87,5179.7,1229.26,111.52,2.32,0.69295891,0.766122766,0.595252711,0.790588235,49.63688093,Low Salary–Low Cost
Abilene,United States,United States,Northern America,6966,7925,1150,123.33,3.015,0.880446005,0.738409738,0.768671987,0.868342246,55.8469058,High Salary–High Cost
Maicao,Colombia,Colombia,South America,995.6,1157.85,104.9,33.57,0.87,0.228267603,0.045325045,0.05893186,0.046203209,58.87060076,High Cost–Low Salary
Alberton,South Africa,South Africa,Africa,1441.44,1658.72,399.185,78.03,1.14,0.286908941,0.346283346,0.159504809,0.411657754,50.43997844,High Cost–Low Salary
Punta Arenas,Chile,Chile,South America,1890.4,2090.56,565.93,65.08,1.555,0.398306835,0.468272468,0.35993452,0.265668449,49.68149737,High Cost–Low Salary
Dabrowa Gornicza,Poland,Poland,Europe,1496.57,1736.84,405.675,73.25,1.005,0.333987198,0.351463351,0.100982198,0.350160428,54.14233002,High Cost–Low Salary
Zacatecas,Mexico,Mexico,Central America,1681.97,1917.34,287.93,68.82,1.525,0.367953748,0.241906242,0.346224678,0.303208556,53.909495,High Cost–Low Salary
Montreuil,France,France,Europe,3769.56,4377.38,,102.74,3.16,0.630807351,,0.797421731,0.709518717,,
Slough,United Kingdom,United Kingdom,Europe,6300,7235.37,1363.25,87.64,1.915,0.728370845,0.80963481,0.476263556,0.539358289,53.95560941,High Salary–High Cost
Barretos,Brazil,Brazil,South America,1490.04,1711.16,,71.85,1.14,0.310241586,,0.161346429,0.334117647,,
Pescara,Italy,Italy,Europe,3467.23,3868.92,623.465,151.04,2.255,0.533037374,0.500259,0.576529568,0.95197861,47.85490926,Low Salary–Low Cost
Bayawan,Philippines,Philippines,Asia,728.78,790.54,107.65,75.64,1.17,0.156721041,0.048692049,0.175977082,0.382459893,51.18690971,High Cost–Low Salary
Blackburn,United Kingdom,United Kingdom,Europe,6300,7235.37,522.75,73.03,2.055,0.728370845,0.435379435,0.50859423,0.349625668,63.61404341,High Salary–High Cost
Ciudad Hidalgo,Mexico,Mexico,Central America,1681.97,1917.34,,51.57,1.655,0.367953748,,0.408737467,0.14684492,,
Guelma,Algeria,Algeria,Africa,1148.84,1308.81,108.5,21.7,0.905,0.252632666,0.05024605,0.069674647,0.011871658,59.9226308,High Cost–Low Salary
Fier,Albania,Albania,Europe,832.84,956.92,123.905,67.1,1.065,0.175924014,0.06993007,0.123183957,0.283850267,53.16501847,High Cost–Low Salary
Berkeley,United States,United States,Northern America,6966,7925,3165.415,141.67,4.445,0.880446005,0.98963999,0.961837528,0.931871658,45.38519163,High Salary–Moderate Cost
Redding,United States,United States,Northern America,6966,7925,1600,98.75,3.99,0.880446005,0.860916861,0.914569265,0.665240642,50.88179019,High Salary–High Cost
Upington,South Africa,South Africa,Africa,1441.44,1658.72,,,1.3,0.286908941,,0.244219357,,,
Plock,Poland,Poland,Europe,1496.57,1736.84,343.695,69.87,1.285,0.333987198,0.2996633,0.237569061,0.312834225,52.89222507,High Cost–Low Salary
Siracusa,Italy,Italy,Europe,3467.23,3868.92,561.995,93.52,1.88,0.533037374,0.463092463,0.4682832,0.607700535,52.67039042,Low Salary–Low Cost
Apucarana,Brazil,Brazil,South America,1490.04,1711.16,,38.32,1.345,0.310241586,,0.265602619,0.074759358,,
Chilapa de Alvarez,Mexico,Mexico,Central America,1681.97,1917.34,393.21,47.7,1.55,0.367953748,0.34006734,0.358706773,0.116791444,52.1379112,High Cost–Low Salary
Billings,United States,United States,Northern America,6966,7925,1500,103.83,3.11,0.880446005,0.838124838,0.785041948,0.720213904,53.76727079,High Salary–High Cost
Valinhos,Brazil,Brazil,South America,1490.04,1711.16,,54.28,1.3,0.310241586,,0.244219357,0.16855615,,
Guelmim,Morocco,Morocco,Africa,1634.24,1896.89,338.43,37.78,0.66,0.352570721,0.294483294,0.015142214,0.071336898,59.6069249,High Cost–Low Salary
Perpignan,France,France,Europe,3769.56,4377.38,723.89,141.2,2.195,0.630807351,0.556591557,0.558317986,0.930802139,51.8052082,Low Salary–Low Cost
Gottingen,Germany,Germany,Europe,3731.5,4048.63,911.49,102.74,2.53,0.603964485,0.646723647,0.648966646,0.709518717,47.50320657,Low Salary–Low Cost
Barcelos,Portugal,Portugal,Europe,2537,2917.55,,65.86,1.35,0.454160644,,0.268876611,0.271871658,,
Kuopio,Finland,Finland,Europe,4238.9,4978.86,846.95,95.4,2.37,0.657030766,0.620564621,0.609064866,0.632941176,51.99141959,Low Salary–Low Cost
Yuba City,United States,United States,Northern America,6966,7925,1587.5,88.33,4.1,0.880446005,0.856902357,0.933190096,0.546524064,51.20331906,High Salary–High Cost
Orleans,France,France,Europe,3769.56,4377.38,684.935,94.15,2.155,0.630807351,0.535094535,0.547677512,0.612941176,54.14474805,Low Salary–Low Cost
Chelmsford,United Kingdom,United Kingdom,Europe,6300,7235.37,1459.09,115.01,2.685,0.728370845,0.828282828,0.691323921,0.819893048,47.78552787,High Salary–High Cost
Ajax,Canada,Canada,Northern America,6311.03,7352.94,1624.97,81.53,2.62,0.757278546,0.865060865,0.669940659,0.457754011,50.54982246,High Salary–High Cost
Ciudad Choluteca,Honduras,Honduras,Central America,1022.22,1139.39,,250,,0.234152385,,,0.99315508,,
Dordrecht,Netherlands,Netherlands,Europe,4756.87,5179.7,1448.9,126.45,2.435,0.69295891,0.825174825,0.627685697,0.88631016,47.03331012,Low Salary–Low Cost
Duluth,United States,United States,Northern America,6966,7925,1971.335,110,4.75,0.880446005,0.918932919,0.972682627,0.779037433,47.70013754,High Salary–Moderate Cost
Ghardaia,Algeria,Algeria,Africa,1148.84,1308.81,273.045,30.14,0.9,0.252632666,0.228956229,0.067219153,0.036149733,55.38259584,High Cost–Low Salary
Leominster,United States,United States,Northern America,6966,7925,,77,2.84,0.880446005,,0.724063843,0.397433155,,
